COLOCADO	FR	HOR	LEX	AIM	COD	REL
não	0.6	1	0	0	5	GRAMATICAL
nos	0.1	1	0	0	5	GRAMATICAL
mais	0.1	1	0	0	5	GRAMATICAL
qualquer	0.1	0	0	0	5	GRAMATICAL
por	0.3	0	0	0	5	GRAMATICAL
dos	0.2	1	0	0	5	GRAMATICAL
ou	0.5	1	0	0	5	GRAMATICAL
quando	0.1	1	0	0	5	GRAMATICAL
das	0.1	1	0	0	5	GRAMATICAL
como	0.1	0	0	0	5	GRAMATICAL
que	0.4	1	0	0	5	GRAMATICAL
e	0.6	1	0	0	5	GRAMATICAL
se	0.2	1	0	0	5	GRAMATICAL
no	0.1	1	0	0	5	GRAMATICAL
com	0.1	1	0	0	5	GRAMATICAL
