Substantivo	Consoantes	Vogais	Sílabas	Tônica	Final	Tipo
volume	3	3	3	paroxítona	me	T1
controle	5	3	3	paroxítona	le	T1
capacidade	5	5	5	paroxítona	de	T1
indústria	5	4	3	paroxítona	ia	T1
jornal	4	2	2	oxítona	al	T5
modo	2	2	2	paroxítona	do	T1
disco	3	2	2	paroxítona	co	T1
governador	6	4	4	oxítona	or	T4
eleição	1	6	3	oxítona	ão	T2
criação	2	5	3	oxítona	ão	T2
risco	3	2	2	paroxítona	co	T1
serviço	3	4	3	paroxítona	ço	T1
objetivo	4	4	4	paroxítona	vo	T1
índice	3	3	3	proparoxítona	ce	T1
exposição	3	6	4	oxítona	ão	T2
sucesso	4	3	3	paroxítona	so	T1
conta	3	2	2	paroxítona	ta	T1
possibilidade	7	6	6	paroxítona	de	T1
estudo	3	3	3	paroxítona	do	T1
direção	2	5	3	oxítona	ão	T2
tradução	3	5	3	oxítona	ão	T2
saúde	2	3	3	paroxítona	de	T1
telefone	4	4	4	paroxítona	ne	T1
escritor	5	3	3	oxítona	or	T4
partida	4	3	3	paroxítona	da	T1
renda	3	2	2	paroxítona	da	T1
desenvolvimento	9	6	6	paroxítona	to	T1
taxa	2	2	2	paroxítona	xa	T1
água	1	3	2	paroxítona	ua	T1
proposta	5	3	3	paroxítona	ta	T1
entrada	4	3	3	paroxítona	da	T1
maneira	3	4	3	paroxítona	ra	T1
espécie	3	4	3	paroxítona	ie	T1
secretário	5	5	4	paroxítona	io	T1
reunião	2	5	3	oxítona	ão	T2
medida	3	3	3	paroxítona	da	T1
vídeo	2	3	2	paroxítona	eo	T1
lista	3	2	2	paroxítona	ta	T1
participação	5	7	5	oxítona	ão	T2
pessoa	3	3	3	paroxítona	oa	T1
usuário	2	5	3	paroxítona	io	T1
tela	2	2	2	paroxítona	la	T1
razão	2	3	2	oxítona	ão	T2
redução	2	5	3	oxítona	ão	T2
prefeitura	5	5	4	paroxítona	ra	T1
café	2	2	2	oxítona	fé	T1
acesso	3	3	3	paroxítona	so	T1
escola	3	3	3	paroxítona	la	T1
imprensa	5	3	3	paroxítona	sa	T1
ordem	3	2	2	paroxítona	em	T8
literatura	5	5	5	paroxítona	ra	T1
sábado	3	3	3	proparoxítona	do	T1
fazenda	4	3	3	paroxítona	da	T1
candidatura	6	5	5	paroxítona	ra	T1
líder	3	2	2	paroxítona	er	T4
nível	3	2	2	paroxítona	el	T5
quadro	3	3	2	paroxítona	ro	T1
peça	1	3	2	paroxítona	ça	T1
senador	4	3	3	oxítona	or	T4
força	2	3	2	paroxítona	ça	T1
operação	2	6	4	oxítona	ão	T2
consumidor	6	4	4	oxítona	or	T4
salário	3	4	3	paroxítona	io	T1
prefeito	4	4	3	paroxítona	to	T1
relação	2	5	3	oxítona	ão	T2
tema	2	2	2	paroxítona	ma	T1
crime	3	2	2	paroxítona	me	T1
violência	4	5	4	paroxítona	ia	T1
frente	4	2	2	paroxítona	te	T1
custo	3	2	2	paroxítona	to	T1
orçamento	4	5	4	paroxítona	to	T1
consumo	4	3	3	paroxítona	mo	T1
futuro	3	3	3	paroxítona	ro	T1
milhão	3	3	2	oxítona	ão	T2
velocidade	5	5	5	paroxítona	de	T1
realidade	4	5	5	paroxítona	de	T1
redação	2	5	3	oxítona	ão	T2
poesia	2	4	4	paroxítona	ia	T1
lançamento	5	5	4	paroxítona	to	T1
educação	2	6	4	oxítona	ão	T2
revisão	3	4	3	oxítona	ão	T2
teatro	3	3	3	paroxítona	ro	T1
ataque	2	4	3	paroxítona	ue	T1
volta	3	2	2	paroxítona	ta	T1
memória	3	4	3	paroxítona	ia	T1
terra	3	2	2	paroxítona	ra	T1
cabeça	2	4	3	paroxítona	ça	T1
comissão	4	4	3	oxítona	ão	T2
data	2	2	2	paroxítona	ta	T1
assunto	4	3	3	paroxítona	to	T1
poeta	2	3	3	paroxítona	ta	T1
exemplo	4	3	3	paroxítona	lo	T1
opção	1	4	2	oxítona	ão	T2
abertura	4	4	4	paroxítona	ra	T1
doença	2	4	3	paroxítona	ça	T1
viagem	3	3	3	paroxítona	em	T8
evento	3	3	3	paroxítona	to	T1
atenção	2	5	3	oxítona	ão	T2
vista	3	2	2	paroxítona	ta	T1
posição	2	5	3	oxítona	ão	T2
estabilização	5	8	6	oxítona	ão	T2
total	3	2	2	oxítona	al	T5
tecnologia	5	5	5	paroxítona	ia	T1
presença	4	4	3	paroxítona	ça	T1
dança	2	3	2	paroxítona	ça	T1
contrário	5	4	3	paroxítona	io	T1
mudança	3	4	3	paroxítona	ça	T1
bola	2	2	2	paroxítona	la	T1
comunicação	4	7	5	oxítona	ão	T2
filho	3	2	2	paroxítona	ho	T1
interesse	5	4	4	paroxítona	se	T1
diferença	4	5	4	paroxítona	ça	T1
origem	3	3	3	paroxítona	em	T8
década	3	3	3	proparoxítona	da	T1
desempenho	6	4	4	paroxítona	ho	T1
leitor	3	3	2	oxítona	or	T4
máquina	3	4	3	proparoxítona	na	T1
experiência	5	6	5	paroxítona	ia	T1
tarde	3	2	2	paroxítona	de	T1
atacante	4	4	4	paroxítona	te	T1
comércio	4	4	3	paroxítona	io	T1
leite	2	3	2	paroxítona	te	T1
estilo	3	3	3	paroxítona	lo	T1
construção	5	5	3	oxítona	ão	T2
geração	2	5	3	oxítona	ão	T2
leilão	2	4	2	oxítona	ão	T2
efeito	2	4	3	paroxítona	to	T1
amigo	2	3	3	paroxítona	go	T1
correção	3	5	3	oxítona	ão	T2
análise	3	4	4	proparoxítona	se	T1
parágrafo	5	4	4	proparoxítona	fo	T1
foto	2	2	2	paroxítona	to	T1
reajuste	4	4	4	paroxítona	te	T1
juiz	2	2	2	oxítona	iz	T4
pedido	3	3	3	paroxítona	do	T1
solução	2	5	3	oxítona	ão	T2
prisão	3	3	2	oxítona	ão	T2
crédito	4	3	3	proparoxítona	to	T1
frase	3	2	2	paroxítona	se	T1
ouro	1	3	2	paroxítona	ro	T1
crise	3	2	2	paroxítona	se	T1
formação	3	5	3	oxítona	ão	T2
fundo	3	2	2	paroxítona	do	T1
mostra	4	2	2	paroxítona	ra	T1
saída	2	3	3	paroxítona	da	T1
tradição	3	5	3	oxítona	ão	T2
grau	2	2	1	oxítona	au	T1
temporada	5	4	4	paroxítona	da	T1
interior	4	4	4	oxítona	or	T4
idade	2	3	3	paroxítona	de	T1
expectativa	6	5	5	paroxítona	va	T1
safra	3	2	2	paroxítona	ra	T1
necessidade	6	5	5	paroxítona	de	T1
encontro	5	3	3	paroxítona	ro	T1
placa	3	2	2	paroxítona	ca	T1
variação	2	6	4	oxítona	ão	T2
pensamento	6	4	4	paroxítona	to	T1
opinião	2	5	4	oxítona	ão	T2
caminho	4	3	3	paroxítona	ho	T1
poupança	3	5	3	paroxítona	ça	T1
conversão	5	4	3	oxítona	ão	T2
hospital	5	3	3	oxítona	al	T5
acidente	4	4	4	paroxítona	te	T1
investimento	7	5	5	paroxítona	to	T1
médico	3	3	3	proparoxítona	co	T1
visão	2	3	2	oxítona	ão	T2
avaliação	2	7	5	oxítona	ão	T2
contrato	5	3	3	paroxítona	to	T1
dívida	3	3	3	proparoxítona	da	T1
padrão	3	3	2	oxítona	ão	T2
informação	4	6	4	oxítona	ão	T2
povo	2	2	2	paroxítona	vo	T1
corte	3	2	2	paroxítona	te	T1
energia	3	4	4	paroxítona	ia	T1
televisão	4	5	4	oxítona	ão	T2
imposto	4	3	3	paroxítona	to	T1
linguagem	5	4	3	paroxítona	em	T8
previsão	4	4	3	oxítona	ão	T2
feira	2	3	2	paroxítona	ra	T1
ciência	3	4	3	paroxítona	ia	T1
administração	6	7	5	oxítona	ão	T2
senhor	4	2	2	oxítona	or	T4
pena	2	2	2	paroxítona	na	T1
advogado	4	4	4	paroxítona	do	T1
tendência	5	4	3	paroxítona	ia	T1
resposta	5	3	3	paroxítona	ta	T1
goleiro	3	4	3	paroxítona	ro	T1
responsabilidade	9	7	7	paroxítona	de	T1
classe	4	2	2	paroxítona	se	T1
raça	1	3	2	paroxítona	ça	T1
primeiro	4	4	3	paroxítona	ro	T1
preocupação	4	7	5	oxítona	ão	T2
romance	4	3	3	paroxítona	ce	T1
causa	2	3	2	paroxítona	sa	T1
constituição	5	7	4	oxítona	ão	T2
palavra	4	3	3	paroxítona	ra	T1
pressão	4	3	2	oxítona	ão	T2
prova	3	2	2	paroxítona	va	T1
marca	3	2	2	paroxítona	ca	T1
natureza	4	4	4	paroxítona	za	T1
congresso	6	3	3	paroxítona	so	T1
carta	3	2	2	paroxítona	ta	T1
piloto	3	3	3	paroxítona	to	T1
prêmio	3	3	2	paroxítona	io	T1
existência	5	5	4	paroxítona	ia	T1
criança	3	4	3	paroxítona	ça	T1
passagem	5	3	3	paroxítona	em	T8
leitura	3	4	3	paroxítona	ra	T1
aplicação	3	6	4	oxítona	ão	T2
sucursal	5	3	3	oxítona	al	T5
gerente	4	3	3	paroxítona	te	T1
atuação	1	6	4	oxítona	ão	T2
chance	4	2	2	paroxítona	ce	T1
fonte	3	2	2	paroxítona	te	T1
turno	3	2	2	paroxítona	no	T1
prática	4	3	3	proparoxítona	ca	T1
quantidade	5	5	4	paroxítona	de	T1
festa	3	2	2	paroxítona	ta	T1
passado	4	3	3	paroxítona	do	T1
exterior	4	4	4	oxítona	or	T4
derrota	4	3	3	paroxítona	ta	T1
vontade	4	3	3	paroxítona	de	T1
língua	3	3	2	paroxítona	ua	T1
psicanálise	6	5	5	proparoxítona	se	T1
editora	3	4	4	paroxítona	ra	T1
especial	4	4	4	oxítona	al	T5
entidade	4	4	4	paroxítona	de	T1
moda	2	2	2	paroxítona	da	T1
produtor	5	3	3	oxítona	or	T4
empresário	5	5	4	paroxítona	io	T1
recorde	4	3	3	paroxítona	de	T1
dúvida	3	3	3	proparoxítona	da	T1
desejo	3	3	3	paroxítona	jo	T1
oferta	3	3	3	paroxítona	ta	T1
reforma	4	3	3	paroxítona	ma	T1
teoria	2	4	4	paroxítona	ia	T1
loja	2	2	2	paroxítona	ja	T1
delegado	4	4	4	paroxítona	do	T1
ambiente	4	4	4	paroxítona	te	T1
organização	4	7	5	oxítona	ão	T2
material	4	4	4	oxítona	al	T5
cargo	3	2	2	paroxítona	go	T1
sala	2	2	2	paroxítona	la	T1
amor	2	2	2	oxítona	or	T4
debate	3	3	3	paroxítona	te	T1
impressão	5	4	3	oxítona	ão	T2
conjunto	5	3	3	paroxítona	to	T1
chefe	3	2	2	paroxítona	fe	T1
conhecimento	7	5	5	paroxítona	to	T1
fábrica	4	3	3	proparoxítona	ca	T1
aprovação	3	6	4	oxítona	ão	T2
tentativa	5	4	4	paroxítona	va	T1
meia	1	3	2	paroxítona	ia	T1
metade	3	3	3	paroxítona	de	T1
estratégia	5	5	4	paroxítona	ia	T1
artista	4	3	3	paroxítona	ta	T1
cartão	3	3	2	oxítona	ão	T2
colheita	4	4	3	paroxítona	ta	T1
relatório	4	5	4	paroxítona	io	T1
combate	4	3	3	paroxítona	te	T1
definição	3	6	4	oxítona	ão	T2
corrida	4	3	3	paroxítona	da	T1
treinador	5	4	3	oxítona	or	T4
aliança	2	5	4	paroxítona	ça	T1
produtividade	7	6	6	paroxítona	de	T1
associação	3	7	5	oxítona	ão	T2
discussão	5	4	3	oxítona	ão	T2
cenário	3	4	3	paroxítona	io	T1
rendimento	6	4	4	paroxítona	to	T1
novidade	4	4	4	paroxítona	de	T1
mesa	2	2	2	paroxítona	sa	T1
segundo	4	3	3	paroxítona	do	T1
esquema	3	4	3	paroxítona	ma	T1
discurso	5	3	3	paroxítona	so	T1
respeito	4	4	3	paroxítona	to	T1
adversário	5	5	4	paroxítona	io	T1
luta	2	2	2	paroxítona	ta	T1
carne	3	2	2	paroxítona	ne	T1
órgão	2	3	2	paroxítona	ão	T1
jornalista	6	4	4	paroxítona	ta	T1
tratamento	6	4	4	paroxítona	to	T1
julgamento	6	4	4	paroxítona	to	T1
troca	3	2	2	paroxítona	ca	T1
clube	3	2	2	paroxítona	be	T1
greve	3	2	2	paroxítona	ve	T1
liberdade	5	4	4	paroxítona	de	T1
solo	2	2	2	paroxítona	lo	T1
busca	3	2	2	paroxítona	ca	T1
sede	2	2	2	paroxítona	de	T1
contato	4	3	3	paroxítona	to	T1
destino	4	3	3	paroxítona	no	T1
referência	5	5	4	paroxítona	ia	T1
sexo	2	2	2	paroxítona	xo	T1
intenção	3	5	3	oxítona	ão	T2
peso	2	2	2	paroxítona	so	T1
curso	3	2	2	paroxítona	so	T1
poema	2	3	3	paroxítona	ma	T1
função	2	4	2	oxítona	ão	T2
soja	2	2	2	paroxítona	ja	T1
mínimo	3	3	3	proparoxítona	mo	T1
brasileiro	5	5	4	paroxítona	ro	T1
estação	2	5	3	oxítona	ão	T2
reação	1	5	3	oxítona	ão	T2
representação	6	7	5	oxítona	ão	T2
personagem	6	4	4	paroxítona	em	T8
compositor	6	4	4	oxítona	or	T4
apresentação	5	7	5	oxítona	ão	T2
programação	5	6	4	oxítona	ão	T2
instalação	4	6	4	oxítona	ão	T2
festival	5	3	3	oxítona	al	T5
campeão	3	4	3	oxítona	ão	T2
expressão	5	4	3	oxítona	ão	T2
expansão	4	4	3	oxítona	ão	T2
evolução	2	6	4	oxítona	ão	T2
resolução	3	6	4	oxítona	ão	T2
negociação	3	7	5	oxítona	ão	T2
distribuição	5	7	4	oxítona	ão	T2
legislação	4	6	4	oxítona	ão	T2
assessor	5	3	3	oxítona	or	T4
hotel	3	2	2	oxítona	el	T5
condição	3	5	3	oxítona	ão	T2
coleção	2	5	3	oxítona	ão	T2
vantagem	5	3	3	paroxítona	em	T8
suspensão	5	4	3	oxítona	ão	T2
sessão	3	3	2	oxítona	ão	T2
coordenador	6	5	5	oxítona	or	T4
bilhão	3	3	2	oxítona	ão	T2
publicação	4	6	4	oxítona	ão	T2
andar	3	2	2	oxítona	ar	T4
declaração	4	6	4	oxítona	ão	T2
disposição	4	6	4	oxítona	ão	T2
intervenção	5	6	4	oxítona	ão	T2
investigação	5	7	5	oxítona	ão	T2
importação	4	6	4	oxítona	ão	T2
pessoal	4	3	3	oxítona	al	T5
proteção	3	5	3	oxítona	ão	T2
general	4	3	3	oxítona	al	T5
recuperação	4	7	5	oxítona	ão	T2
realização	3	7	5	oxítona	ão	T2
alemão	2	4	3	oxítona	ão	T3
contribuição	5	7	4	oxítona	ão	T2
corrupção	4	5	3	oxítona	ão	T2
pesquisador	6	5	4	oxítona	or	T4
irmão	2	3	2	oxítona	ão	T1
modernização	5	7	5	oxítona	ão	T2
implantação	5	6	4	oxítona	ão	T2
editor	3	3	3	oxítona	or	T4
cotação	2	5	3	oxítona	ão	T2
privatização	5	7	5	oxítona	ão	T2
casal	3	2	2	oxítona	al	T5
emissão	3	4	3	oxítona	ão	T2
conclusão	5	4	3	oxítona	ão	T2
confusão	4	4	3	oxítona	ão	T2
composição	4	6	4	oxítona	ão	T2
manutenção	4	6	4	oxítona	ão	T2
mensagem	5	3	3	paroxítona	em	T8
religião	3	5	4	oxítona	ão	T2
trabalhador	7	4	4	oxítona	or	T4
concentração	6	6	4	oxítona	ão	T2
competição	4	6	4	oxítona	ão	T2
melhor	4	2	2	oxítona	or	T4
transmissão	7	4	3	oxítona	ão	T2
prazer	4	2	2	oxítona	er	T4
ator	2	2	2	oxítona	or	T4
marcação	3	5	3	oxítona	ão	T2
arroz	3	2	2	oxítona	oz	T4
lateral	4	3	3	oxítona	al	T5
divisão	3	4	3	oxítona	ão	T2
monitor	4	3	3	oxítona	or	T4
circulação	4	6	4	oxítona	ão	T2
acusação	2	6	4	oxítona	ão	T2
oposição	2	6	4	oxítona	ão	T2
concepção	4	5	3	oxítona	ão	T2
comparação	4	6	4	oxítona	ão	T2
chão	2	2	1	oxítona	ão	T1
avião	1	4	3	oxítona	ão	T2
olhar	3	2	2	oxítona	ar	T4
margem	4	2	2	paroxítona	em	T8
votação	2	5	3	oxítona	ão	T2
sinal	3	2	2	oxítona	al	T5
montagem	5	3	3	paroxítona	em	T8
ligação	2	5	3	oxítona	ão	T2
original	4	4	4	oxítona	al	T5
explosão	4	4	3	oxítona	ão	T2
gestão	3	3	2	oxítona	ão	T2
interpretação	6	7	5	oxítona	ão	T2
câncer	4	2	2	paroxítona	er	T4
atriz	3	2	2	oxítona	iz	T4
ficção	2	4	2	oxítona	ão	T2
integração	4	6	4	oxítona	ão	T2
sensação	3	5	3	oxítona	ão	T2
nação	1	4	2	oxítona	ão	T2
pintor	4	2	2	oxítona	or	T4
duração	2	5	3	oxítona	ão	T2
noção	1	4	2	oxítona	ão	T2
reflexão	4	4	3	oxítona	ão	T2
calor	3	2	2	oxítona	or	T4
criador	4	3	3	oxítona	or	T4
revolução	3	6	4	oxítona	ão	T2
instituição	4	7	4	oxítona	ão	T2
seção	1	4	2	oxítona	ão	T2
observação	4	6	4	oxítona	ão	T2
reposição	3	6	4	oxítona	ão	T2
classificação	6	7	5	oxítona	ão	T2
rapaz	3	2	2	oxítona	az	T4
ideal	2	3	3	oxítona	al	T5
projeção	3	5	3	oxítona	ão	T2
liberação	3	6	4	oxítona	ão	T2
transformação	7	6	4	oxítona	ão	T2
humor	3	2	2	oxítona	or	T4
animal	3	3	3	oxítona	al	T5
elevação	2	6	4	oxítona	ão	T2
alteração	3	6	4	oxítona	ão	T2
transição	4	5	3	oxítona	ão	T2
demissão	4	4	3	oxítona	ão	T2
exceção	2	5	3	oxítona	ão	T2
introdução	4	6	4	oxítona	ão	T2
missão	3	3	2	oxítona	ão	T2
coração	2	5	3	oxítona	ão	T2
fiscalização	5	7	5	oxítona	ão	T2
divulgação	4	6	4	oxítona	ão	T2
cidadão	3	4	3	oxítona	ão	T1
colocação	3	6	4	oxítona	ão	T2
espanhol	5	3	3	oxítona	ol	T5
processador	7	4	4	oxítona	or	T4
potencial	5	4	4	oxítona	al	T5
extensão	4	4	3	oxítona	ão	T2
remuneração	4	7	5	oxítona	ão	T2
aluguel	3	4	3	oxítona	el	T5
cantor	4	2	2	oxítona	or	T4
tribunal	5	3	3	oxítona	al	T5
painel	3	3	2	oxítona	el	T5
arrecadação	4	7	5	oxítona	ão	T2
compensação	5	6	4	oxítona	ão	T2
profissão	5	4	3	oxítona	ão	T2
afirmação	3	6	4	oxítona	ão	T2
relator	4	3	3	oxítona	or	T4
jantar	4	2	2	oxítona	ar	T4
preparação	4	6	4	oxítona	ão	T2
procurador	6	4	4	oxítona	or	T4
jovem	3	2	2	paroxítona	em	T8
compreensão	6	5	4	oxítona	ão	T2
valorização	4	7	5	oxítona	ão	T2
exportação	4	6	4	oxítona	ão	T2
fator	3	2	2	oxítona	or	T4
exploração	4	6	4	oxítona	ão	T2
explicação	4	6	4	oxítona	ão	T2
sucessão	4	4	3	oxítona	ão	T2
rigor	3	2	2	oxítona	or	T4
homenagem	5	4	4	paroxítona	em	T8
gravação	3	5	3	oxítona	ão	T2
feijão	2	4	2	oxítona	ão	T2
utilização	3	7	5	oxítona	ão	T2
promoção	3	5	3	oxítona	ão	T2
perfil	4	2	2	oxítona	il	T6
atração	2	5	3	oxítona	ão	T2
renovação	3	6	4	oxítona	ão	T2
substituição	5	7	4	oxítona	ão	T2
embaixador	5	5	4	oxítona	or	T4
favor	3	2	2	oxítona	or	T4
invasão	3	4	3	oxítona	ão	T2
reprodução	4	6	4	oxítona	ão	T2
infecção	3	5	3	oxítona	ão	T2
saber	3	2	2	oxítona	er	T4
fabricação	4	6	4	oxítona	ão	T2
irrigação	3	6	4	oxítona	ão	T2
ocupação	2	6	4	oxítona	ão	T2
tributação	4	6	4	oxítona	ão	T2
investidor	6	4	4	oxítona	or	T4
coligação	3	6	4	oxítona	ão	T2
licitação	3	6	4	oxítona	ão	T2
historiador	6	5	5	oxítona	or	T4
convenção	4	5	3	oxítona	ão	T2
federação	3	6	4	oxítona	ão	T2
união	1	4	3	oxítona	ão	T2
concessão	5	4	3	oxítona	ão	T2
manual	3	3	3	oxítona	al	T5
responsável	7	4	4	paroxítona	el	T5
geral	3	2	2	oxítona	al	T5
dimensão	4	4	3	oxítona	ão	T2
ocasião	2	5	4	oxítona	ão	T2
paixão	2	4	2	oxítona	ão	T2
patamar	4	3	3	oxítona	ar	T4
recepção	3	5	3	oxítona	ão	T2
colaboração	4	7	5	oxítona	ão	T2
cartaz	4	2	2	oxítona	az	T4
consultor	6	3	3	oxítona	or	T4
separação	3	6	4	oxítona	ão	T2
paisagem	4	4	3	paroxítona	em	T8
maior	2	3	2	oxítona	or	T4
estatal	4	3	3	oxítona	al	T5
manifestação	5	7	5	oxítona	ão	T2
invenção	3	5	3	oxítona	ão	T2
apuração	2	6	4	oxítona	ão	T2
repórter	5	3	3	paroxítona	er	T4
punição	2	5	3	oxítona	ão	T2
percepção	4	5	3	oxítona	ão	T2
espectador	6	4	4	oxítona	or	T4
pregão	3	3	2	oxítona	ão	T2
adoção	1	5	3	oxítona	ão	T2
caminhão	4	4	3	oxítona	ão	T2
canal	3	2	2	oxítona	al	T5
coordenação	4	7	5	oxítona	ão	T2
autorização	3	8	5	oxítona	ão	T2
fundação	3	5	3	oxítona	ão	T2
policial	4	4	4	oxítona	al	T5
imaginação	3	7	5	oxítona	ão	T2
extinção	3	5	3	oxítona	ão	T2
combinação	4	6	4	oxítona	ão	T2
algodão	3	4	3	oxítona	ão	T2
promotor	5	3	3	oxítona	or	T4
ampliação	3	6	4	oxítona	ão	T2
lazer	3	2	2	oxítona	er	T4
orientação	3	7	5	oxítona	ão	T2
açúcar	2	4	3	paroxítona	ar	T4
moral	3	2	2	oxítona	al	T5
elaboração	3	7	5	oxítona	ão	T2
convocação	4	6	4	oxítona	ão	T2
carnaval	5	3	3	oxítona	al	T5
indenização	4	7	5	oxítona	ão	T2
