N	PALAVRA	ETQ	FREQ	%
306	sódica	ADJ	122	0,04
307	diária	ADJ	121	0,04
308	máquinas	N	121	0,04
309	recomendado	PCP	121	0,04
310	atendimento	N	120	0,04
311	horários	N	120	0,04
312	aguda	ADJ	118	0,04
313	serviço	N	118	0,04
314	ingestão	V	117	0,04
315	início	N	117	0,04
316	olho	N	117	0,04
317	seguintes	ADJ	117	0,04
318	tontura	N	117	0,04
319	absorção	N	116	0,04
320	isso	PROSUB	116	0,04
321	próxima	ADJ	116	0,04
322	respeitando	V	115	0,04
323	doenças	N	114	0,04
324	leite	N	114	0,04
325	muscular	ADJ	114	0,04
326	operar	V	114	0,04
327	geralmente	ADV	113	0,04
328	ter	V	113	0,04
329	via	PREP	113	0,04
330	dentro	PREP	112	0,04
331	medicações	N	112	0,04
332	perigoso	ADJ	112	0,04
333	vômitos	N	112	0,04
334	boca	N	111	0,04
335	condições	N	111	0,04
336	nome	N	111	0,04
337	período	N	111	0,04
338	magnésio	NPROP	110	0,04
339	álcool	N	110	0,04
340	nervoso	ADJ	109	0,04
341	superdose	N	109	0,04
342	12	NUM	107	0,03
343	amamentando	V	106	0,03
344	comum	ADJ	106	0,03
345	medicamentosas	N	106	0,03
346	relatados	PCP	106	0,03
347	sanguínea	ADJ	106	0,03
348	3	NUM	105	0,03
349	exemplo	N	105	0,03
350	fórmula	N	105	0,03
351	aos	PREP+ART	104	0,03
352	deverá	V	104	0,03
353	câncer	N	103	0,03
354	sonolência	N	103	0,03
355	coceira	N	102	0,03
356	dióxido	PCP	102	0,03
357	segurança	N	102	0,03
358	3	N	101	0,03
359	8	NUM	101	0,03
360	recomenda-se	N	101	0,03
361	abdominal	ADJ	100	0,03
362	inibidores	N	100	0,03
363	atenção	N	99	0,03
364	cautela	N	99	0,03
365	amamentação	N	98	0,03
366	náusea	N	98	0,03
367	seja	V	98	0,03
368	ajuste	N	97	0,03
369	evitar	V	97	0,03
370	hipotensão	N	97	0,03
371	utilizar	V	97	0,03
372	anlodipino	N	96	0,03
373	estar	V	96	0,03
374	mas	KC	96	0,03
375	medicação	N	96	0,03
376	normalmente	ADV	96	0,03
377	sido	PCP	96	0,03
378	bem	ADV	95	0,03
379	esse	PROADJ	95	0,03
380	oral	N	95	0,03
381	adultos	N	94	0,03
382	edema	N	94	0,03
383	revestido	PCP	94	0,03
384	sanguíneos	ADJ	94	0,03
385	vermelhidão	N	94	0,03
386	20	NUM	93	0,03
387	febre	N	93	0,03
388	lactose	N	93	0,03
389	colesterol	N	92	0,03
390	concentração	N	92	0,03
391	concomitante	ADV	92	0,03
392	losartana	N	92	0,03
393	peso	N	92	0,03
394	todos	PROADJ	92	0,03
395	xr	N	92	0,03
396	apresentações	N	90	0,03
397	estearato	N	90	0,03
398	frontal	N	90	0,03
399	sensação	N	90	0,03
400	componente	N	89	0,03
401	peito	N	89	0,03
402	úlcera	V	89	0,03
403	resposta	N	88	0,03
404	revestidos	PCP	88	0,03
405	24	NUM	87	0,03
406	alimentos	N	87	0,03
407	entretanto	KC	87	0,03
408	componentes	N	86	0,03
409	exames	N	86	0,03
410	frasco	N	86	0,03
411	deve-se	N	85	0,03
412	estão	V	85	0,03
413	máxima	ADJ	85	0,03
414	vômito	N	85	0,03
415	meses	N	84	0,03
416	sinais	N	84	0,03
417	açúcar	N	83	0,03
418	esta	PROADJ	83	0,03
419	inicial	ADJ	83	0,03
420	tais	KS	83	0,03
421	todas	PROADJ	83	0,03
422	vasos	N	83	0,03
423	única	ADJ	83	0,03
424	0,01	NUM	82	0,03
425	acima	PREP	82	0,03
426	associada	PCP	82	0,03
427	capacidade	N	82	0,03
428	contato	N	82	0,03
429	presença	N	82	0,03
430	apenas	PDEN	81	0,03
431	base	N	81	0,03
432	cor	N	81	0,03
433	fraqueza	N	81	0,03
434	pessoas	N	81	0,03
435	seus	PROADJ	81	0,03
436	tenha	V	81	0,03
437	tratados	PCP	81	0,03
438	urticária	N	81	0,03
439	aberto	PCP	80	0,03
440	lembrar	V	80	0,03
441	menos	ADV	80	0,03
442	posologia	N	80	0,03
443	umidade	N	80	0,03
444	avise	N	79	0,03
445	item	N	79	0,03
446	local	N	79	0,03
447	modo	N	79	0,03
448	potássica	ADJ	79	0,03
449	ocorrência	N	78	0,03
450	anormal	ADJ	77	0,02
451	características	ADJ	77	0,02
452	embalagens	N	77	0,02
453	substância	N	77	0,02
454	tomando	V	77	0,02
455	falta	N	76	0,02
456	formação	N	76	0,02
457	irritação	N	76	0,02
458	prescrição	N	76	0,02
459	100	NUM	75	0,02
460	interação	N	75	0,02
461	intestino	N	75	0,02
462	clínicos	ADJ	74	0,02
463	coagulação	N	74	0,02
464	embora	KS	74	0,02
465	lactação	N	74	0,02
466	mesmo	PROADJ	74	0,02
467	150	NUM	73	0,02
468	50	NUM	73	0,02
469	administrada	PCP	73	0,02
470	cerebral	ADJ	73	0,02
471	organismo	N	73	0,02
472	reduzir	V	73	0,02
473	alérgicas	ADJ	72	0,02
474	anemia	N	72	0,02
475	cansaço	N	72	0,02
476	cardíacos	ADJ	72	0,02
477	convulsões	N	72	0,02
478	da	NPROP	72	0,02
479	incomum	ADJ	72	0,02
480	somente	PDEN	72	0,02
481	toxicidade	N	72	0,02
482	aumentada	PCP	71	0,02
483	cs	N	71	0,02
484	rara	ADJ	71	0,02
485	tratar	V	71	0,02
486	6	NUM	70	0,02
487	ansiedade	N	70	0,02
488	atividade	N	70	0,02
489	ocorrem	V	70	0,02
490	pulmonar	N	70	0,02
491	sensibilidade	N	70	0,02
492	sermion	NPROP	70	0,02
493	tags	N	70	0,02
494	aplicação	N	69	0,02
495	até	PDEN	69	0,02
496	crônica	ADJ	69	0,02
497	cérebro	N	69	0,02
498	glicose	N	69	0,02
499	iniciar	V	69	0,02
500	injeção	N	69	0,02
